Lon,Lat,OBJECTID,Ownership,Pole_Num_1,Service,Bulb_Type,Wattage,Lumens,Mast_Arm,Photo_Cont,Luminaire_,Hand_Hold,Extra_Info,Inspection,Inspect_Date,Inspect_Time,Pole_Manuf,Pole_Model,Light_Manu,Light_Mode,POINT_X,POINT_Y,Fixture,Fixture_Model,Bracket,Banner_Arms,Address,Banner_Size,Pole_Number,Pole_Prefix,Pole_Suffix,Pole_Type,Pole_Suff_Seq,Owner_Asset,Light_Presence,created_user,created_date,last_edited_user,last_edited_date
-86.19779039,41.67303594,9940,AEP,J261-1012,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,08:20:16am,,,, ,182982.8596,2340673.712,,,,,,,J261-1012,,,Wood,10939,-3,,,,,
-86.20912814,41.67284867,9941,AEP,J261-1015,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,08:05:37am,,,, ,179884.9708,2340624.768,,,,,,,J261-1015,,,Wood,10940,-3,,,,,
-86.20799853,41.67284708,9942,AEP,J261-1016,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,08:00:41am,,,, ,180193.5778,2340622.25,,,,,,,J261-1016,,,Wood,10941,-3,,,,,
-86.20033962,41.66852909,9943,AEP,J261-1018,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,09:23:31am,,,, ,182276.2433,2339035.801,,,,,,,J261-1018,,,Wood,10942,-3,,,,,
-86.20142446,41.67045154,9944,AEP,J261-1025,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,09:40:51am,,,, ,181984.1928,2339738.145,,,,,,,J261-1025,,,Wood,10943,-3,,,,,
-86.2080563,41.67140171,9945,AEP,J261-1028,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,11:06:23am,,,, ,180174.4846,2340095.684,,,,,,,J261-1028,,,Wood,10944,-3,,,,,
-86.20679547,41.67209028,9946,AEP,J261-1029,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,07:58:05am,,,, ,180520.5244,2340344.424,,,,,,,J261-1029,,,Wood,10945,-3,,,,,
-86.20261473,41.67049682,9947,AEP,J261-1030,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,09:48:58am,,,, ,181659.1029,2339756.662,,,,,,,J261-1030,,,Wood,10946,-3,,,,,
-86.21161013,41.66850702,9948,AEP,J261-1037,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,11:40:18am,,,, ,179196.8895,2339047.028,,,,,,,J261-1037,,,Wood,10947,-3,,,,,
-86.19712505,41.67287986,9949,AEP,J261-1043,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,08:18:37am,,,, ,183164.2794,2340615.719,,,,,,,J261-1043,,,Wood,10948,-3,,,,,
-86.20677433,41.67287738,9950,AEP,J261-1048,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,07:55:01am,,,, ,180528.0966,2340631.193,,,,,,,J261-1048,,,Wood,10949,-3,,,,,
-86.21292192,41.66850393,9951,AEP,J261-1053,Overhead,Yellow - H.P. Sodium,Unknown,"K - 9,500 Lumens",No,No,No,No,,CB-JP,,11:58:46am,,,, ,178838.4754,2339048.172,,,,,,,J261-1053,,,Wood,10950,-3,,,,,
